COST_FN:COST_FP,TP,FP,FN,TN,recall,precision,F1,youden,median_shift_m
1:1,723,657,683,57250,0.5142247510668563,0.5239130434782608,0.5190236898779612,0.5028789724908638,-0.187688906
2:1,852,1012,554,56895,0.6059743954480796,0.4570815450643777,0.5211009174311927,0.5884980972457896,-0.209178835
3:1,935,1380,471,56527,0.6650071123755334,0.4038876889848812,0.5025530771298038,0.6411757966451381,-0.25558775
5:1,1071,1965,335,55942,0.7617354196301565,0.35276679841897235,0.48221521837010356,0.7278016983183979,-0.32715327650000015
8:1,1123,2644,283,55263,0.798719772403983,0.2981152110432705,0.4341774598878793,0.7530603529900952,-0.34962842499999996
12:1,1156,3177,250,54730,0.8221906116642959,0.2667897530579275,0.40285764070395536,0.7673267782762772,-0.36435140899999996
20:1,1185,3861,221,54046,0.8428165007112376,0.2348394768133175,0.36732796032238063,0.7761406238742403,-0.37495077400000004
